instance_type,n,seed,algorithm,bins,lower_bound,ratio,time_ms,capacity,item_range
large_items,200,11,FFD,84,76,1.105263,0.423,1000,250-500
large_items,200,11,BFD,84,76,1.105263,0.4068,1000,250-500
large_items,200,11,CAD,82,76,1.078947,50.1153,1000,250-500
large_items,200,12,FFD,85,76,1.118421,0.4021,1000,250-500
large_items,200,12,BFD,85,76,1.118421,0.4081,1000,250-500
large_items,200,12,CAD,84,76,1.105263,55.2924,1000,250-500
large_items,200,13,FFD,85,77,1.103896,0.4044,1000,250-500
large_items,200,13,BFD,85,77,1.103896,0.405,1000,250-500
large_items,200,13,CAD,84,77,1.090909,61.9764,1000,250-500
large_items,200,14,FFD,82,74,1.108108,0.3672,1000,250-500
large_items,200,14,BFD,82,74,1.108108,0.4,1000,250-500
large_items,200,14,CAD,81,74,1.094595,48.3732,1000,250-500
large_items,200,15,FFD,85,77,1.103896,0.3959,1000,250-500
large_items,200,15,BFD,85,77,1.103896,0.4021,1000,250-500
large_items,200,15,CAD,85,77,1.103896,51.3831,1000,250-500
large_items,200,16,FFD,83,75,1.106667,0.3988,1000,250-500
large_items,200,16,BFD,83,75,1.106667,0.4378,1000,250-500
large_items,200,16,CAD,84,75,1.12,59.0689,1000,250-500
large_items,200,17,FFD,84,76,1.105263,0.4005,1000,250-500
large_items,200,17,BFD,84,76,1.105263,0.4095,1000,250-500
large_items,200,17,CAD,85,76,1.118421,62.1853,1000,250-500
large_items,200,18,FFD,82,75,1.093333,0.4046,1000,250-500
large_items,200,18,BFD,82,75,1.093333,0.4098,1000,250-500
large_items,200,18,CAD,83,75,1.106667,49.6729,1000,250-500
large_items,200,19,FFD,82,74,1.108108,0.372,1000,250-500
large_items,200,19,BFD,82,74,1.108108,0.3983,1000,250-500
large_items,200,19,CAD,83,74,1.121622,60.7288,1000,250-500
large_items,200,20,FFD,84,76,1.105263,0.3888,1000,250-500
large_items,200,20,BFD,84,76,1.105263,0.6881,1000,250-500
large_items,200,20,CAD,85,76,1.118421,66.8179,1000,250-500
large_items,200,21,FFD,83,75,1.106667,0.4042,1000,250-500
large_items,200,21,BFD,83,75,1.106667,0.4079,1000,250-500
large_items,200,21,CAD,83,75,1.106667,66.1584,1000,250-500
large_items,200,22,FFD,84,75,1.12,0.3715,1000,250-500
large_items,200,22,BFD,84,75,1.12,0.3987,1000,250-500
large_items,200,22,CAD,83,75,1.106667,68.6254,1000,250-500
large_items,200,23,FFD,84,76,1.105263,0.4207,1000,250-500
large_items,200,23,BFD,84,76,1.105263,0.4175,1000,250-500
large_items,200,23,CAD,85,76,1.118421,54.68,1000,250-500
large_items,200,24,FFD,83,76,1.092105,0.3792,1000,250-500
large_items,200,24,BFD,83,76,1.092105,0.4617,1000,250-500
large_items,200,24,CAD,84,76,1.105263,99.6019,1000,250-500
large_items,200,25,FFD,82,74,1.108108,0.737,1000,250-500
large_items,200,25,BFD,82,74,1.108108,0.7374,1000,250-500
large_items,200,25,CAD,81,74,1.094595,90.0597,1000,250-500
large_items,200,26,FFD,83,76,1.092105,0.6566,1000,250-500
large_items,200,26,BFD,83,76,1.092105,0.7256,1000,250-500
large_items,200,26,CAD,87,76,1.144737,100.1334,1000,250-500
large_items,200,27,FFD,85,77,1.103896,0.7285,1000,250-500
large_items,200,27,BFD,85,77,1.103896,0.8365,1000,250-500
large_items,200,27,CAD,86,77,1.116883,74.552,1000,250-500
large_items,200,28,FFD,86,77,1.116883,0.5714,1000,250-500
large_items,200,28,BFD,86,77,1.116883,0.5463,1000,250-500
large_items,200,28,CAD,86,77,1.116883,62.7334,1000,250-500
large_items,200,29,FFD,82,74,1.108108,0.4281,1000,250-500
large_items,200,29,BFD,82,74,1.108108,0.5242,1000,250-500
large_items,200,29,CAD,82,74,1.108108,64.7325,1000,250-500
large_items,200,30,FFD,82,74,1.108108,0.3723,1000,250-500
large_items,200,30,BFD,82,74,1.108108,0.4053,1000,250-500
large_items,200,30,CAD,82,74,1.108108,62.3375,1000,250-500
large_items,200,31,FFD,84,76,1.105263,0.3729,1000,250-500
large_items,200,31,BFD,84,76,1.105263,0.4044,1000,250-500
large_items,200,31,CAD,83,76,1.092105,59.8049,1000,250-500
large_items,200,32,FFD,85,77,1.103896,0.3921,1000,250-500
large_items,200,32,BFD,85,77,1.103896,0.4654,1000,250-500
large_items,200,32,CAD,85,77,1.103896,53.2968,1000,250-500
large_items,200,33,FFD,84,75,1.12,0.4404,1000,250-500
large_items,200,33,BFD,84,75,1.12,0.4113,1000,250-500
large_items,200,33,CAD,84,75,1.12,61.4621,1000,250-500
large_items,200,34,FFD,82,74,1.108108,0.4767,1000,250-500
large_items,200,34,BFD,82,74,1.108108,0.4049,1000,250-500
large_items,200,34,CAD,82,74,1.108108,70.8736,1000,250-500
large_items,200,35,FFD,86,76,1.131579,0.4159,1000,250-500
large_items,200,35,BFD,86,76,1.131579,0.4044,1000,250-500
large_items,200,35,CAD,84,76,1.105263,60.2864,1000,250-500
large_items,200,36,FFD,85,77,1.103896,0.3932,1000,250-500
large_items,200,36,BFD,85,77,1.103896,0.421,1000,250-500
large_items,200,36,CAD,86,77,1.116883,56.2096,1000,250-500
large_items,200,37,FFD,84,76,1.105263,0.6611,1000,250-500
large_items,200,37,BFD,84,76,1.105263,0.6363,1000,250-500
large_items,200,37,CAD,84,76,1.105263,63.917,1000,250-500
large_items,200,38,FFD,84,75,1.12,0.3947,1000,250-500
large_items,200,38,BFD,84,75,1.12,0.4042,1000,250-500
large_items,200,38,CAD,81,75,1.08,56.4137,1000,250-500
large_items,200,39,FFD,83,75,1.106667,0.3888,1000,250-500
large_items,200,39,BFD,83,75,1.106667,0.4027,1000,250-500
large_items,200,39,CAD,82,75,1.093333,61.9452,1000,250-500
large_items,200,40,FFD,83,76,1.092105,0.4324,1000,250-500
large_items,200,40,BFD,83,76,1.092105,0.3933,1000,250-500
large_items,200,40,CAD,84,76,1.105263,68.5014,1000,250-500
large_items,200,41,FFD,85,76,1.118421,0.3984,1000,250-500
large_items,200,41,BFD,85,76,1.118421,0.4105,1000,250-500
large_items,200,41,CAD,84,76,1.105263,53.8821,1000,250-500
large_items,200,42,FFD,82,75,1.093333,0.3588,1000,250-500
large_items,200,42,BFD,82,75,1.093333,0.456,1000,250-500
large_items,200,42,CAD,82,75,1.093333,60.039,1000,250-500
large_items,200,43,FFD,86,77,1.116883,0.6282,1000,250-500
large_items,200,43,BFD,86,77,1.116883,0.7283,1000,250-500
large_items,200,43,CAD,85,77,1.103896,60.4874,1000,250-500
large_items,200,44,FFD,84,75,1.12,0.3926,1000,250-500
large_items,200,44,BFD,84,75,1.12,0.4316,1000,250-500
large_items,200,44,CAD,83,75,1.106667,55.5864,1000,250-500
large_items,200,45,FFD,84,76,1.105263,0.3749,1000,250-500
large_items,200,45,BFD,84,76,1.105263,0.399,1000,250-500
large_items,200,45,CAD,85,76,1.118421,59.0127,1000,250-500
large_items,200,46,FFD,83,75,1.106667,0.3652,1000,250-500
large_items,200,46,BFD,83,75,1.106667,0.3967,1000,250-500
large_items,200,46,CAD,83,75,1.106667,63.3202,1000,250-500
large_items,200,47,FFD,83,74,1.121622,0.4155,1000,250-500
large_items,200,47,BFD,83,74,1.121622,0.4023,1000,250-500
large_items,200,47,CAD,82,74,1.108108,59.7504,1000,250-500
large_items,200,48,FFD,84,75,1.12,0.3758,1000,250-500
large_items,200,48,BFD,84,75,1.12,0.4047,1000,250-500
large_items,200,48,CAD,83,75,1.106667,65.4821,1000,250-500
large_items,200,49,FFD,84,75,1.12,0.3756,1000,250-500
large_items,200,49,BFD,84,75,1.12,0.4007,1000,250-500
large_items,200,49,CAD,84,75,1.12,54.8401,1000,250-500
large_items,300,0,FFD,124,112,1.107143,0.754,1000,250-500
large_items,300,0,BFD,124,112,1.107143,0.8457,1000,250-500
large_items,300,0,CAD,122,112,1.089286,199.7696,1000,250-500
large_items,300,1,FFD,126,113,1.115044,1.4804,1000,250-500
large_items,300,1,BFD,126,113,1.115044,1.4475,1000,250-500
large_items,300,1,CAD,124,113,1.097345,178.134,1000,250-500
large_items,300,2,FFD,124,113,1.097345,0.8081,1000,250-500
large_items,300,2,BFD,124,113,1.097345,0.8438,1000,250-500
large_items,300,2,CAD,126,113,1.115044,204.0161,1000,250-500
large_items,300,3,FFD,125,113,1.106195,0.8671,1000,250-500
large_items,300,3,BFD,125,113,1.106195,0.8163,1000,250-500
